fixture_date,division,home_team,away_team,home_sets,home_games,away_sets,away_games
2026-05-04,5A,WATT4,WHEA4,NA,NA,NA,NA
2026-05-04,5B,LETC2,WATT3,NA,NA,NA,NA
2026-05-04,5B,ORCH4,CODI5,NA,NA,NA,NA
2026-05-04,5B,ASHW2,KIMP4,NA,NA,NA,NA
2026-05-04,5B,WHEA5,WELW5,NA,NA,NA,NA
2026-05-04,6A,ELLI4,DELL3,NA,NA,NA,NA
2026-05-04,6A,ASTO3,LEGE3,NA,NA,NA,NA
2026-05-04,6A,CODI6,WELW6,NA,NA,NA,NA
2026-05-04,6A,TEWI1,WYMOY,NA,NA,NA,NA
2026-05-04,6B,KIMP5,ORCH5,NA,NA,NA,NA
2026-05-04,6B,CODI7,ASTO2,NA,NA,NA,NA
2026-05-04,6B,DELL4,ST M2,NA,NA,NA,NA
2026-05-04,6B,DIGS4,HITC5,NA,NA,NA,NA
2026-05-04,7A,DELL5,WEST2,NA,NA,NA,NA
2026-05-04,7A,WHEA6,KNEB5,NA,NA,NA,NA
2026-05-04,7A,KIMP6,WATT5,NA,NA,NA,NA
2026-05-04,7A,ODYS6,ST PS,NA,NA,NA,NA
2026-05-04,7B,WELW7,ASHW3,NA,NA,NA,NA
2026-05-04,7B,DELL6,ORCH6,NA,NA,NA,NA
2026-05-04,7B,HODD2,KNEB4,NA,NA,NA,NA
2026-05-04,7B,HITC6,TEWI2,NA,NA,NA,NA
2026-05-04,8A,DIGS5,KIMP7,NA,NA,NA,NA
2026-05-04,8A,CODI8,ASTO4,NA,NA,NA,NA
2026-05-04,8A,LIST3,KNEB6,NA,NA,NA,NA
2026-05-04,8A,LETC3,WELW8,NA,NA,NA,NA
2026-05-11,1,ORCH1,WELW2,NA,NA,NA,NA
2026-05-11,1,ELLI1,KNEB1,NA,NA,NA,NA
2026-05-11,1,PIRT1,CODI1,NA,NA,NA,NA
2026-05-11,1,WELW1,HITC1,NA,NA,NA,NA
2026-05-11,2,LETC1,GOSLG,NA,NA,NA,NA
2026-05-11,2,CODI2,ASTO1,NA,NA,NA,NA
2026-05-11,2,WHEA1,ELLI2,NA,NA,NA,NA
2026-05-11,2,KIMP1,WELW3,NA,NA,NA,NA
2026-05-11,3A,KIMP2,KNEB3,NA,NA,NA,NA
2026-05-11,3A,HODD1,DIGS2,NA,NA,NA,NA
2026-05-11,3A,DELL1,LIST1,NA,NA,NA,NA
2026-05-11,3A,ODYS1,WELW4,NA,NA,NA,NA
2026-05-11,3B,ODYS2,KNEB2,NA,NA,NA,NA
2026-05-11,3B,CODI3,LEGE1,NA,NA,NA,NA
2026-05-11,3B,DIGS1,WHEA2,NA,NA,NA,NA
2026-05-11,3B,HITC2,ORCH2,NA,NA,NA,NA
2026-05-11,4A,WATT2,HITC4,NA,NA,NA,NA
2026-05-11,4A,WHEA3,LEGE2,NA,NA,NA,NA
2026-05-11,4A,CODI4,ODYS4,NA,NA,NA,NA
2026-05-11,4A,PIRT2,WEST1,NA,NA,NA,NA
2026-05-11,4B,HITC3,WATT1,NA,NA,NA,NA
2026-05-11,4B,ODYS3,ASHW1,NA,NA,NA,NA
2026-05-11,4B,DIGS3,ORCH3,NA,NA,NA,NA
2026-05-11,4B,ELLI3,KIMP3,NA,NA,NA,NA
2026-05-11,5A,WHEA4,ODYS5,NA,NA,NA,NA
2026-05-11,5A,LIST2,PIRT3,NA,NA,NA,NA
2026-05-11,5A,ST M1,DATCH,NA,NA,NA,NA
2026-05-11,5A,DELL2,WATT4,NA,NA,NA,NA
2026-05-11,5B,WELW5,LETC2,NA,NA,NA,NA
2026-05-11,5B,WATT3,ORCH4,NA,NA,NA,NA
2026-05-11,5B,CODI5,ASHW2,NA,NA,NA,NA
2026-05-11,5B,KIMP4,WHEA5,NA,NA,NA,NA
2026-05-11,6A,WYMOY,ELLI4,NA,NA,NA,NA
2026-05-11,6A,DELL3,ASTO3,NA,NA,NA,NA
2026-05-11,6A,LEGE3,CODI6,NA,NA,NA,NA
2026-05-11,6A,WELW6,TEWI1,NA,NA,NA,NA
2026-05-11,6B,HITC5,KIMP5,NA,NA,NA,NA
2026-05-11,6B,ORCH5,CODI7,NA,NA,NA,NA
2026-05-11,6B,ASTO2,DELL4,NA,NA,NA,NA
2026-05-11,6B,ST M2,DIGS4,NA,NA,NA,NA
2026-05-11,7A,ST PS,DELL5,NA,NA,NA,NA
2026-05-11,7A,WEST2,WHEA6,NA,NA,NA,NA
2026-05-11,7A,KNEB5,KIMP6,NA,NA,NA,NA
2026-05-11,7A,WATT5,ODYS6,NA,NA,NA,NA
2026-05-11,7B,TEWI2,WELW7,NA,NA,NA,NA
2026-05-11,7B,ASHW3,DELL6,NA,NA,NA,NA
2026-05-11,7B,ORCH6,HODD2,NA,NA,NA,NA
2026-05-11,7B,KNEB4,HITC6,NA,NA,NA,NA
2026-05-11,8A,WELW8,DIGS5,NA,NA,NA,NA
2026-05-11,8A,KIMP7,CODI8,NA,NA,NA,NA
2026-05-11,8A,ASTO4,LIST3,NA,NA,NA,NA
2026-05-11,8A,KNEB6,LETC3,NA,NA,NA,NA
2026-05-18,1,WELW2,KNEB1,NA,NA,NA,NA
2026-05-18,1,CODI1,HITC1,NA,NA,NA,NA
2026-05-18,1,ORCH1,ELLI1,NA,NA,NA,NA
2026-05-18,1,PIRT1,WELW1,NA,NA,NA,NA
2026-05-18,2,GOSLG,ASTO1,NA,NA,NA,NA
2026-05-18,2,ELLI2,WELW3,NA,NA,NA,NA
2026-05-18,2,LETC1,CODI2,NA,NA,NA,NA
2026-05-18,2,WHEA1,KIMP1,NA,NA,NA,NA
2026-05-18,3A,KNEB3,DIGS2,NA,NA,NA,NA
2026-05-18,3A,LIST1,WELW4,NA,NA,NA,NA
2026-05-18,3A,KIMP2,HODD1,NA,NA,NA,NA
2026-05-18,3A,DELL1,ODYS1,NA,NA,NA,NA
2026-05-18,3B,KNEB2,LEGE1,NA,NA,NA,NA
2026-05-18,3B,WHEA2,ORCH2,NA,NA,NA,NA
2026-05-18,3B,ODYS2,CODI3,NA,NA,NA,NA
2026-05-18,3B,DIGS1,HITC2,NA,NA,NA,NA
2026-05-18,4A,HITC4,LEGE2,NA,NA,NA,NA
2026-05-18,4A,ODYS4,WEST1,NA,NA,NA,NA
2026-05-18,4A,WATT2,WHEA3,NA,NA,NA,NA
2026-05-18,4A,CODI4,PIRT2,NA,NA,NA,NA
2026-05-18,4B,WATT1,ASHW1,NA,NA,NA,NA
2026-05-18,4B,ORCH3,KIMP3,NA,NA,NA,NA
2026-05-18,4B,HITC3,ODYS3,NA,NA,NA,NA
2026-05-18,4B,DIGS3,ELLI3,NA,NA,NA,NA
2026-05-18,5A,ODYS5,PIRT3,NA,NA,NA,NA
2026-05-18,5A,DATCH,WATT4,NA,NA,NA,NA
2026-05-18,5A,WHEA4,LIST2,NA,NA,NA,NA
2026-05-18,5A,ST M1,DELL2,NA,NA,NA,NA
2026-05-18,5B,LETC2,ORCH4,NA,NA,NA,NA
2026-05-18,5B,ASHW2,WHEA5,NA,NA,NA,NA
2026-05-18,5B,WELW5,WATT3,NA,NA,NA,NA
2026-05-18,5B,CODI5,KIMP4,NA,NA,NA,NA
2026-05-18,6A,ELLI4,ASTO3,NA,NA,NA,NA
2026-05-18,6A,CODI6,TEWI1,NA,NA,NA,NA
2026-05-18,6A,WYMOY,DELL3,NA,NA,NA,NA
2026-05-18,6A,LEGE3,WELW6,NA,NA,NA,NA
2026-05-18,6B,KIMP5,CODI7,NA,NA,NA,NA
2026-05-18,6B,DELL4,DIGS4,NA,NA,NA,NA
2026-05-18,6B,HITC5,ORCH5,NA,NA,NA,NA
2026-05-18,6B,ASTO2,ST M2,NA,NA,NA,NA
2026-05-18,7A,DELL5,WHEA6,NA,NA,NA,NA
2026-05-18,7A,KIMP6,ODYS6,NA,NA,NA,NA
2026-05-18,7A,ST PS,WEST2,NA,NA,NA,NA
2026-05-18,7A,KNEB5,WATT5,NA,NA,NA,NA
2026-05-18,7B,WELW7,DELL6,NA,NA,NA,NA
2026-05-18,7B,HODD2,HITC6,NA,NA,NA,NA
2026-05-18,7B,TEWI2,ASHW3,NA,NA,NA,NA
2026-05-18,7B,ORCH6,KNEB4,NA,NA,NA,NA
2026-05-18,8A,DIGS5,CODI8,NA,NA,NA,NA
2026-05-18,8A,LIST3,LETC3,NA,NA,NA,NA
2026-05-18,8A,WELW8,KIMP7,NA,NA,NA,NA
2026-05-18,8A,ASTO4,KNEB6,NA,NA,NA,NA
2026-05-25,1,HITC1,WELW2,NA,NA,NA,NA
2026-05-25,1,KNEB1,CODI1,NA,NA,NA,NA
2026-05-25,1,WELW1,ORCH1,NA,NA,NA,NA
2026-05-25,1,ELLI1,PIRT1,NA,NA,NA,NA
2026-05-25,2,WELW3,GOSLG,NA,NA,NA,NA
2026-05-25,2,ASTO1,ELLI2,NA,NA,NA,NA
2026-05-25,2,KIMP1,LETC1,NA,NA,NA,NA
2026-05-25,2,CODI2,WHEA1,NA,NA,NA,NA
2026-05-25,3A,WELW4,KNEB3,NA,NA,NA,NA
2026-05-25,3A,DIGS2,LIST1,NA,NA,NA,NA
2026-05-25,3A,ODYS1,KIMP2,NA,NA,NA,NA
2026-05-25,3A,HODD1,DELL1,NA,NA,NA,NA
2026-05-25,3B,ORCH2,KNEB2,NA,NA,NA,NA
2026-05-25,3B,LEGE1,WHEA2,NA,NA,NA,NA
2026-05-25,3B,HITC2,ODYS2,NA,NA,NA,NA
2026-05-25,3B,CODI3,DIGS1,NA,NA,NA,NA
2026-05-25,4A,WEST1,HITC4,NA,NA,NA,NA
2026-05-25,4A,LEGE2,ODYS4,NA,NA,NA,NA
2026-05-25,4A,PIRT2,WATT2,NA,NA,NA,NA
2026-05-25,4A,WHEA3,CODI4,NA,NA,NA,NA
2026-05-25,4B,KIMP3,WATT1,NA,NA,NA,NA
2026-05-25,4B,ASHW1,ORCH3,NA,NA,NA,NA
2026-05-25,4B,ELLI3,HITC3,NA,NA,NA,NA
2026-05-25,4B,ODYS3,DIGS3,NA,NA,NA,NA
2026-05-25,5A,WATT4,ODYS5,NA,NA,NA,NA
2026-05-25,5A,PIRT3,DATCH,NA,NA,NA,NA
2026-05-25,5A,DELL2,WHEA4,NA,NA,NA,NA
2026-05-25,5A,LIST2,ST M1,NA,NA,NA,NA
2026-05-25,5B,WHEA5,LETC2,NA,NA,NA,NA
2026-05-25,5B,ORCH4,ASHW2,NA,NA,NA,NA
2026-05-25,5B,KIMP4,WELW5,NA,NA,NA,NA
2026-05-25,5B,WATT3,CODI5,NA,NA,NA,NA
2026-05-25,6A,TEWI1,ELLI4,NA,NA,NA,NA
2026-05-25,6A,ASTO3,CODI6,NA,NA,NA,NA
2026-05-25,6A,WELW6,WYMOY,NA,NA,NA,NA
2026-05-25,6A,DELL3,LEGE3,NA,NA,NA,NA
2026-05-25,6B,DIGS4,KIMP5,NA,NA,NA,NA
2026-05-25,6B,CODI7,DELL4,NA,NA,NA,NA
2026-05-25,6B,ST M2,HITC5,NA,NA,NA,NA
2026-05-25,6B,ORCH5,ASTO2,NA,NA,NA,NA
2026-05-25,7A,ODYS6,DELL5,NA,NA,NA,NA
2026-05-25,7A,WHEA6,KIMP6,NA,NA,NA,NA
2026-05-25,7A,WATT5,ST PS,NA,NA,NA,NA
2026-05-25,7A,WEST2,KNEB5,NA,NA,NA,NA
2026-05-25,7B,HITC6,WELW7,NA,NA,NA,NA
2026-05-25,7B,DELL6,HODD2,NA,NA,NA,NA
2026-05-25,7B,KNEB4,TEWI2,NA,NA,NA,NA
2026-05-25,7B,ASHW3,ORCH6,NA,NA,NA,NA
2026-05-25,8A,LETC3,DIGS5,NA,NA,NA,NA
2026-05-25,8A,CODI8,LIST3,NA,NA,NA,NA
2026-05-25,8A,KNEB6,WELW8,NA,NA,NA,NA
2026-05-25,8A,KIMP7,ASTO4,NA,NA,NA,NA
2026-06-01,1,WELW2,CODI1,NA,NA,NA,NA
2026-06-01,1,KNEB1,HITC1,NA,NA,NA,NA
2026-06-01,1,ORCH1,PIRT1,NA,NA,NA,NA
2026-06-01,1,ELLI1,WELW1,NA,NA,NA,NA
2026-06-01,2,GOSLG,ELLI2,NA,NA,NA,NA
2026-06-01,2,ASTO1,WELW3,NA,NA,NA,NA
2026-06-01,2,LETC1,WHEA1,NA,NA,NA,NA
2026-06-01,2,CODI2,KIMP1,NA,NA,NA,NA
2026-06-01,3A,KNEB3,LIST1,NA,NA,NA,NA
2026-06-01,3A,DIGS2,WELW4,NA,NA,NA,NA
2026-06-01,3A,KIMP2,DELL1,NA,NA,NA,NA
2026-06-01,3A,HODD1,ODYS1,NA,NA,NA,NA
2026-06-01,3B,KNEB2,WHEA2,NA,NA,NA,NA
2026-06-01,3B,LEGE1,ORCH2,NA,NA,NA,NA
2026-06-01,3B,ODYS2,DIGS1,NA,NA,NA,NA
2026-06-01,3B,CODI3,HITC2,NA,NA,NA,NA
2026-06-01,4A,HITC4,ODYS4,NA,NA,NA,NA
2026-06-01,4A,LEGE2,WEST1,NA,NA,NA,NA
2026-06-01,4A,WATT2,CODI4,NA,NA,NA,NA
2026-06-01,4A,WHEA3,PIRT2,NA,NA,NA,NA
2026-06-01,4B,WATT1,ORCH3,NA,NA,NA,NA
